league_name,display_name,total_points
#78 30s THE NEBULA SFTEP+ $10,ethanoz24,2590
#78 30s THE NEBULA SFTEP+ $10,Kapetan,2515
#78 30s THE NEBULA SFTEP+ $10,StickyPicky,2509
#78 30s THE NEBULA SFTEP+ $10,DaBearsPL,2436
$20SummerSuperFlexBestie,StickyPicky,2430
#78 30s THE NEBULA SFTEP+ $10,OrngCrush89,2371
$20SummerSuperFlexBestie,dumais829,2371
#78 30s THE NEBULA SFTEP+ $10,Sirricky09,2362
#78 30s THE NEBULA SFTEP+ $10,NiceCanadian,2332
#78 30s THE NEBULA SFTEP+ $10,BradleyWasser,2312
#78 30s THE NEBULA SFTEP+ $10,SpiceOne,2258
$20SummerSuperFlexBestie,HerbsNHarbaugh,2197
#78 30s THE NEBULA SFTEP+ $10,WindowLicker5000,2183
$20SummerSuperFlexBestie,SirThomas75,2136
$20SummerSuperFlexBestie,Randalpynkfloyd,2131
#78 30s THE NEBULA SFTEP+ $10,TavrinCallas,2096
$20SummerSuperFlexBestie,Therrell,2069
$20SummerSuperFlexBestie,Joe__Joe_,2031
The Reverse 46 (1 Hr Clock),KcChiefer08,1999
$20SummerSuperFlexBestie,YourWorship,1989
#78 30s THE NEBULA SFTEP+ $10,moon3,1977
$20SummerSuperFlexBestie,BayouDemons,1977
$20SummerSuperFlexBestie,jdubs35,1945
$20SummerSuperFlexBestie,Phintrest,1935
The Reverse 46 (1 Hr Clock),Tebowjackson,1798
The Reverse 46 (1 Hr Clock),simptropic,1789
The Reverse 46 (1 Hr Clock),FloridaMan15,1737
The Reverse 46 (1 Hr Clock),WorldWorb3,1721
The Reverse 46 (1 Hr Clock),Cyguy22,1710
The Reverse 46 (1 Hr Clock),crask,1705
The Reverse 46 (1 Hr Clock),iampotato1,1624
$20SummerSuperFlexBestie,RageOnSunday,1592
The Reverse 46 (1 Hr Clock),StickyPicky,1564
The Reverse 46 (1 Hr Clock),jaredeuv,1545
The Reverse 46 (1 Hr Clock),mayhem208,1536
The Reverse 46 (1 Hr Clock),RanchoCucamonga,1478
The Reverse 46 (1 Hr Clock),jhorton22,1473
The Reverse 46 (1 Hr Clock),nicsulsky,1469
The Reverse 46 (1 Hr Clock),brandofosho21,1443
The Reverse 46 (1 Hr Clock),GreenBowlPackers4,1389
